"","lon","lat"
"99876",-75.97466,37.77513
"390887",-76.07966,37.41153
"27826",-75.98966,37.68346
"81449",-76.02466,37.41153
"16565",-76.39121,38.55624
"10953",-76.12521,37.11681
"68407",-76.34634,37.31181
"62111",-76.15966,37.41153
"87611",-76.07966,37.41153
"131776",-75.99937,37.06237
"398574",-76.2643,38.6549
"61678",-76.05799,37.58124
"61702",-76.16772,36.99542
"130961",-76.37144,38.81809
"106498",-75.98966,37.68346
"75512",-76.39945,38.82593
"94569",-76.49402,38.55728
"40738",-76.2643,38.6549
"6674",-76.22787,38.13705
"56841",-76.61592,37.75925
"44850",-76.02048,36.9957
"55918",-76.3881,39.00462
"67284",-76.02599,39.44149
"81446",-76.64833,37.20297
"87402",-76.20799,37.23653
"112323",-75.99937,37.06237
"75741",-76.05383,37.22875
"100317",-76.15633,37.4868
"19516",-76.22787,38.13705
"68394",-76.02048,36.9957
"49738",-76.2405,39.2495
"106394",-76.37574,38.32522
"72151",-75.97321,38.19685
"86750",-76.42151,38.312
"393937",-76.28467,37.5968
"106861",-76.17137,37.91011
"25540",-75.98966,37.68346
"393933",-75.79132,37.90846
"11089",-76.38634,37.24181
"57041",-75.98966,37.68346
"55911",-76.46272,38.81498
"117816",-76.20799,37.23653
"56888",-76.02048,36.9957
"30593",-76.39275,36.95486
"49437",-75.97321,38.19685
"130963",-76.39945,38.82593
"39292",-75.84438,37.79652
"68391",-76.03494,36.94737
"57042",-76.05799,37.58124
"394533",-76.55047,37.66914
"124129",-75.98966,37.68346
"20585",-76.16216,37.58847
"113139",-76.47544,36.99044
"39297",-76.17466,37.80013
"105817",-76.2643,38.6549
"92981",-76.02466,37.41153
"27891",-76.30631,39.16369
"49483",-76.05383,37.22875
"11793",-76.12521,37.11681
"11811",-76.05799,37.58124
"92850",-76.2405,39.2495
"384100",-75.98966,37.68346
"63394",-76.57811,37.29044
"74614",-76.02048,36.9957
"390891",-76.12521,37.11681
"393977",-76.17466,37.80013
"119570",-76.598,38.1576
"92962",-76.02048,36.9957
"397159",-76.37144,38.81809
"57285",-76.34634,37.31181
"51059",-75.80148,37.91455
"394417",-76.47544,36.99044
"43182",-75.99937,37.06237
"62753",-76.37574,38.32522
"51546",-76.43094,37.23392
"28722",-75.80148,37.91455
"74972",-76.29215,38.3187
"86828",-76.05799,37.58124
"62100",-76.34565,38.41457
"93134",-76.47544,36.99044
"63380",-76.2515,38.88
"38348",-76.33836,36.90456
"105714",-76.34517,39.00412
"25580",-76.3881,39.00462
"39294",-75.97466,37.77513
"45727",-76.71195,37.81158
"124136",-76.07966,37.41153
"80319",-76.34634,37.31181
"55628",-76.42127,38.64618
"105218",-76.28467,37.5968
"44107",-76.39945,38.82593
"38862",-76.61592,37.75925
"50715",-76.22787,38.13705
"391305",-76.12521,37.11681
"2265",-76.46272,38.81498
"414598",-76.01033,38.28093
"112038",-76.34565,38.41457
"384124",-75.84438,37.79652
"61731",-76.15633,37.4868
"44114",-76.34517,39.00412
"61705",-76.01033,38.28093
"62264",-76.46272,38.81498
"7098",-75.97466,37.77513
"389686",-76.18967,37.6918
"419995",-75.92423,37.98139
"37610",-76.15633,37.4868
"393973",-76.34634,37.31181
"39860",-76.02048,36.9957
"3268",-76.17579,39.34873
"420944",-76.03494,36.94737
"67956",-76.02599,39.44149
"38720",-75.92423,37.98139
"394420",-76.39275,36.95486
"393114",-76.39121,38.55624
"37506",-76.22787,38.13705
"80286",-76.55047,37.66914
"43561",-76.30408,38.52609
"69091",-76.17579,39.34873
